name,domain,website_summary,linkedin_product_summary,linkedin_other_summary,last_post_date,inactive_6m,contradiction_notes,category,primary_user_summary,unique_value_prop,funding_status,funding_amount,funding_confidence,sources,data_notes,last_updated
Godel Terminal,https://godelterminal.com/,"Godel Terminal is a browser-based financial data terminal starting at $996/year per seat, offering real-time prices, SEC filings, earnings estimates, news, and standardized financials — positioned as a low-cost alternative to Bloomberg for equity research teams at funds and institutions.",,"Godel Terminal is actively hiring a Senior Data Engineer and a Senior Fullstack Engineer, both based in New York.",2025-11-23,Yes,,Research Analysts,"Equity research analysts and portfolio managers at hedge funds, asset managers, and institutional investment firms use Godel Terminal daily for real-time market data, SEC filings, earnings estimates, and news as a cost-effective replacement for Bloomberg terminals.","Uniquely positions as a low-cost Bloomberg alternative at $996/year/seat with real-time prices, estimates, and filings — the only platform here competing explicitly on terminal pricing rather than workflow automation.",Funded,$5M Seed,Verified,Website: https://godelterminal.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/godelterminal | Funding (web search): https://www.dl.software/news,,2026-07-23
Hebbia,https://hebbia.com/,"Hebbia sells an AI platform that lets investment banks, asset managers, and Fortune 500 companies search and analyze thousands of financial documents—filings, memos, earnings calls, deal materials—to surface insights, generate reports, and automate analyst workflows. It connects to data sources like Snowflake, FactSet, S&P Capital IQ, and Pitchbook, and is used by firms managing a combined $30 trillion in AUM.","Hebbia integrates frontier AI models (OpenAI GPT-5, Claude, Gemini) and tests them against financial document benchmarks for accuracy in question answering and citation finding. It recently added a Snowflake integration, expanded its connector library for financial data sources, and ships new chart types, workflow-sharing tools, and data source connections on an ongoing basis.","Hebbia is hiring finance industry veterans onto its AI Strategy team, including a former investment banker, and its CEO has published thought leadership on AI agent workforces. The company teased an upcoming major product launch.",2026-07-27,No,,Research Analysts,"Investment banking analysts and buy-side research analysts at asset managers and banks use Hebbia daily to run due diligence, screen deals, analyze filings and earnings calls, and auto-generate decks and memos—replacing manual document review workflows.","Differentiates by serving firms managing a combined $30 trillion AUM with multi-model frontier AI (GPT-5, Claude, Gemini) benchmarked against financial documents, and deep integrations with Snowflake, FactSet, S&P Capital IQ, and Pitchbook in one platform.",Funded,$130M Series B,Verified,Website: https://hebbia.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/hebbia | Funding (web search): https://techcrunch.com/2024/07/09/ai-startup-hebbia-rased-130m-at-a-700m-valuation-on-13-million-of-profitable-revenue,,2026-07-23
Hudson Labs,https://hudson-labs.com/,"Hudson Labs sells AI-powered research software for public markets, covering 10,000+ companies, that extracts and summarizes data from earnings calls, SEC filings, and financial documents with a focus on accuracy and no hallucinations. It is built for institutional investors, hedge funds, and law firms who need faster, reliable fundamental research.","Hudson Labs offers a Co-Analyst tool that monitors conference calls and SEC filings for specific topics — such as pricing power, CFO turnover, special situations, and GLP-1 effects — and delivers sourced, cited summaries to users on a scheduled basis. It also provides an AI market-mapping capability that processed 550M tokens to map 500+ public and private companies across the AI ecosystem, identifying bottlenecks and investment positioning.","Posts highlight thought leadership on consumer spending divergence across companies like Visa, Target, and P&G, and on AI capex shifts flagged by IBM's earnings warning. Hudson Labs also publicized a market map of the AI ecosystem built using its proprietary infrastructure.",2026-07-27,No,,Research Analysts,"Equity research analysts and buyside investors at hedge funds, asset managers, and law firms use Hudson Labs daily to accelerate fundamental research — pulling financial data, earnings call commentary, and filing signals into sourced summaries in minutes instead of hours.","Differentiates by offering scheduled topic-monitoring across 10,000+ companies (e.g., CFO turnover, GLP-1 effects, pricing power) with sourced summaries delivered on a cadence, plus AI market-mapping that processed 550M tokens to map entire ecosystems — more thematic surveillance than peers.",Funded,$5M Seed,Verified,Website: https://hudson-labs.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/hudson-labs | Funding (web search): https://www.cbinsights.com/company/bedrock-ai/financials,,2026-07-23
Implied,https://implied.com/,"Implied is an AI research platform for public markets investors — hedge funds and asset managers — that automates routine research tasks, processes filings, transcripts, and financial models, and delivers analysis and drafted memos without requiring users to prompt it from scratch each time.","Implied is building a single AI system that handles the entire investment research workflow — not just search — using an agent that learns a user's coverage and works proactively, rather than acting as a standalone chatbot.","The company published its first blog post on what it takes to build a truly AI-native research platform, framing early adoption as a multi-year competitive advantage for funds.",2026-07-09,No,,Research Analysts,"Equity analysts and portfolio managers at hedge funds and asset managers use Implied daily to automate research workflows — including earnings call monitoring, filing analysis, and memo drafting — so they can focus on investment judgment rather than information gathering.",Differentiates by building a single proactive agent that learns a user's coverage universe and works autonomously across the full research workflow without requiring prompts — more autonomous and coverage-aware than the query-based tools dominating this list.,,,Unverified,Website: https://implied.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/implied-ai,,2026-07-23
Invesst,https://invesst.ai/,"Invesst is an AI-powered investment research platform for RIAs, portfolio managers, and analysts that offers automated DCF/valuation models, stock screening, AI-driven search, and universal brokerage integrations. It aims to combine Bloomberg-style financial data with Perplexity-style search, with over 20,000 users reported.",,,,Yes,,Research Analysts,"Research analysts, portfolio managers, and RIAs use this platform daily to run automated valuations, screen stocks, and search for investment ideas across equities and crypto in one place.","Differentiates by combining Bloomberg-style financial data with Perplexity-style search plus universal brokerage integrations and DCF/valuation models in one platform, targeting RIAs and PMs — and claims 20,000+ users, suggesting broader retail-adjacent reach than most institutional peers.",,,Unverified,Website: https://invesst.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/invesstai,"LinkedIn: page found, no post activity detected",2026-07-23
Keye,https://keye.co/,"Keye is a software platform that automates private equity due diligence by converting raw deal files and data room documents into structured, audit-ready financial analysis with Excel exports. It is built for private equity investors and deal teams who need to evaluate more deals faster without sacrificing accuracy.","Keye launched Odin, an AI diligence co-pilot for private equity that lets investors ask questions in plain English and receive deterministic, audit-ready analysis instantly, with every output linked to its raw source. The platform is designed to solve quantitative pain points in due diligence, emphasizing accuracy and determinism over generic AI summaries.","Keye raised $5M in seed funding and was recognized as a finalist for the US 2025 Fintech Awards in the Investment Tech of the Year category, and was nominated in two categories at the Private Equity Wire US Awards. The company has been featured in podcast discussions about AI tools for financial analysis and the future of Excel in private equity workflows.",2026-01-14,Yes,,Research Analysts,"Private equity deal team analysts and principals use Keye daily to automate financial data analysis, run due diligence on acquisition targets, and produce audit-ready outputs faster than manual methods allow.","Differentiates by focusing exclusively on deterministic, audit-ready quantitative analysis of PE deal files and data rooms via its Odin co-pilot, emphasizing accuracy and determinism over generative summaries — more quantitatively rigorous than broader VDR tools like ToltIQ.",Funded,$5M Seed,Verified,Website: https://keye.co/ | LinkedIn (company funding data): https://www.linkedin.com/company/keye/ | Funding (web search): https://pulse2.com/keye-5-million-seed-funding-raised-for-enhancing-private-equity-due-diligence,,2026-08-06
Dotadda,https://knowledge.dotadda.io/,"DoTadda Knowledge gives portfolio managers and analysts AI-powered access to conference call transcripts, summaries, and chat-based Q&A on any publicly traded company, with plans ranging from free to $129/month. It is built for investment professionals who need to quickly extract insights from earnings calls and SEC filings.","DoTadda Knowledge runs multiple AI agents in parallel to produce full research reports — reading earnings transcripts, SEC filings, financials, FDA reports, and the open web, with every claim cited and intelligent follow-ups recommended. It also supports agentic tasks like drafting FOIA requests and is positioning an upcoming release called Project Maestro.","The company reported 541% gross revenue growth and 339% customer growth in 2025, and is offering a free month at the 'Axe' tier to users who sign up — partly as a pitch to analysts displaced by Microsoft's acquisition of Fintool.",2026-06-20,No,,Research Analysts,"Buy-side and sell-side research analysts at hedge funds, asset managers, and investment banks use DoTadda Knowledge daily to quickly read, summarize, and interrogate earnings transcripts, SEC filings, and other company documents instead of doing it manually.","Differentiates by running multiple AI agents in parallel to produce full research reports incorporating FDA reports and the open web alongside filings, and by supporting agentic tasks like drafting FOIA requests — a unique regulatory/government data workflow not seen in peers.",,,Unverified,Website: https://knowledge.dotadda.io/ | LinkedIn (company funding data): https://www.linkedin.com/company/dotadda-inc,,2026-07-23
LinqAlpha,https://linqalpha.com/,"LinqAlpha is an AI-powered investment research platform that covers 57,000+ companies across 120+ countries and 30+ languages, helping institutional investors monitor market signals, screen companies, and conduct fundamental and sentiment analysis.","LinqAlpha's platform deploys specialized AI agents that learn each institution's investment framework and synthesize data from earnings calls, filings, policy shifts, and social signals into actionable research insights across equity, credit, FX, commodity, and macro asset classes. It acts as a 'second brain' for investment teams, building on each firm's own permissioned internal data to surface differentiated, non-consensus alpha before it is priced in.","LinqAlpha raised a $22M Series A anchored by AVP, Atinum Investment, and GFT Ventures, and is actively hiring across engineering, product, and business roles in Seoul, New York, Singapore, and Hong Kong. The company hosted the AI for Finance Summit Asia 2026 with LSEG and LG AI Research, has published 10+ academic papers at venues including ICML and ACL, and serves as Silver Sponsor at the CFA Society Singapore Investment Gala Dinner 2026.",2026-07-24,No,,Research Analysts,"Investment research analysts at hedge funds, asset managers, and investment banks use LinqAlpha daily to automate and accelerate fundamental research, company screening, and market signal monitoring across global public markets.","Differentiates by covering 57,000+ companies across 120+ countries and 30+ languages with specialized agents across equity, credit, FX, commodity, and macro asset classes — the broadest multi-asset, multi-language coverage universe in this list.",Funded,$22M Series A,Verified,Website: https://linqalpha.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/linqalpha | Funding (web search): https://www.citybiz.co/article/869750/linqalpha-raises-22m-to-build-alpha-intelligence-for-public-markets,,2026-07-23
Matterfact,https://matterfact.com/,"Matterfact is an AI research platform that pulls together SEC filings, earnings transcripts, expert calls, podcasts, and alternative data into cited research reports for institutional investors. It is built for hedge funds and other professional investors who need to move quickly from raw information to investment conviction.","Matterfact connects private data sources (Outlook, SharePoint), commercial research vendors, and alternative data including a global podcast intelligence dataset, then lets users deploy AI agents to analyze and synthesize that information into structured insights. The platform targets the full hedge fund analyst workflow — idea generation, research, pitch preparation, monitoring, and earnings prep — with the goal of doubling coverage breadth and cutting research time.","Matterfact publishes weekly thematic research recaps covering semiconductors, SaaS, fintech, FX, industrials, tariffs, and venture capital, positioning itself as a thought-leadership source for investors. Posts also promote a six-part content series on how long/short hedge fund analysts can restructure their workflows around AI agents.",2026-07-22,No,,Research Analysts,"Buy-side research analysts at hedge funds are the primary daily users, relying on Matterfact to aggregate fragmented data sources and automate research workflows across idea generation, due diligence, and earnings preparation.","Differentiates by incorporating a global podcast intelligence dataset alongside private data sources (Outlook, SharePoint) and commercial vendors, targeting the full hedge fund analyst workflow from idea generation through earnings prep — podcast data is unique among peers.",,,Unverified,Website: https://matterfact.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/matterfact,,2026-07-23
Metal,https://metal.ai/,"Metal is an AI platform for private equity and venture capital firms that aggregates a firm's documents, deals, and data into a structured 'Context Graph' so analysts and investment teams can get fast, cited answers about portfolio companies, deals, and metrics. It connects to existing systems of record and makes firm-wide knowledge searchable and usable by AI tools the team already uses.",,,,Yes,,Research Analysts,"Investment professionals and analysts at private equity and venture capital firms use Metal daily to query deal memos, financial metrics, and portfolio data during sourcing, due diligence, IC prep, and portfolio monitoring.","Differentiates by building a structured 'Context Graph' of a PE/VC firm's deals, documents, and portfolio data that makes firm-wide institutional knowledge searchable by AI tools the team already uses — more knowledge-graph-centric than document-search peers.",Funded,$8M Seed,Conflicting,Website: https://metal.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/metal | Funding (conflicting — used web search): https://pitchbook.com/profiles/company/518338-99,"LinkedIn: page found, no post activity detected",2026-07-23
MLQ,https://mlq.ai/,"MLQ.ai is a financial and technology research publication covering frontier tech sectors including AI, semiconductors, defense, robotics, and space, producing news articles, earnings analyses, and IPO research for investors and analysts tracking these industries.",,,,Yes,,Research Analysts,"Research analysts and investors at financial institutions use this to track earnings, IPOs, and funding activity across frontier tech companies including AI, semiconductors, and defense.","Uniquely is a financial and technology research publication producing editorial content on AI, semiconductors, defense, robotics, and space — not a software platform — making it incomparable as a tool to all other companies in this list.",,,Unverified,Website: https://mlq.ai/,LinkedIn: no verified page found,2026-07-23
Octagon AI,https://octagonai.co/,"Octagon is a research and analytics platform for prediction markets (Kalshi, Polymarket) that generates AI-driven reports comparing live market odds to its own probability models to surface mispricings. It also offers bundled trade 'baskets' around macro, political, and crypto theses, aimed at traders, analysts, and institutions active in prediction markets.",,,,Yes,,Research Analysts,"Research analysts and traders at hedge funds or proprietary trading firms use Octagon daily to identify mispriced prediction market contracts by comparing live market odds against Octagon's model probabilities across politics, macro, crypto, and sports events.","Uniquely serves prediction market traders (Kalshi, Polymarket) by comparing live market odds to its own probability models to surface mispricings and offering bundled trade baskets — the only platform here focused on prediction markets rather than traditional securities research.",Funded,Pre-Seed,Partial,Website: https://octagonai.co/ | LinkedIn (company funding data): https://www.linkedin.com/company/octagonai | Funding (web search): https://www.crunchbase.com/organization/octagon-ai/financial_details,"LinkedIn: page found, no post activity detected",2026-07-23
OpenBB,https://openbb.co/,"OpenBB builds a financial analytics workspace where investment teams can connect their own data sources, build interactive dashboards, and run AI agents — all deployed on-premises or in a private cloud so data never leaves the firm's environment. It targets buy-side firms, family offices, and boutique funds that want to replace fragmented terminals and spreadsheets with a unified, customizable platform.","OpenBB's App Marketplace hosts third-party data and analytics apps — including muni bond lookup (Terrapin), geopolitical event forecasting (Numinous Labs), NLP-based trading signals (Lexfi), prediction market data (Kalshi), and alternative data (Carbon Arc) — all accessible inside the OpenBB Workspace. Recent platform updates include a hosted MCP endpoint for connecting external AI agents like Claude or Cursor, an iframe widget to embed existing Streamlit or internal apps into dashboards, and a new self-hosted Workspace Lite tier priced at $2,400/year for small teams.",,2026-07-29,No,,Research Analysts,"Buy-side research analysts and portfolio managers at hedge funds, family offices, and boutique asset managers use OpenBB daily to aggregate data from multiple vendors, run AI-assisted analysis, and share interactive dashboards across their team — replacing Bloomberg terminals and manual spreadsheet workflows.","Uniquely offers an on-premises/private-cloud financial analytics workspace with a third-party App Marketplace (including muni bonds, geopolitical forecasting, prediction market data) and a hosted MCP endpoint — the most customizable, self-hosted, and extensible platform in this list.",Funded,$8.5M Seed,Verified,Website: https://openbb.co/ | LinkedIn (company funding data): https://www.linkedin.com/company/openbb-finance | Funding (web search): https://finance.yahoo.com/news/openbb-raises-8-5m-seed-160000637.html,,2026-07-23
Palmy Investing,https://palmyinvesting.com/,"Palmy's website only shows an authentication/login page, so no product details are publicly visible. The company builds data infrastructure tools (QHub, QCode, QQT, QAI) for hedge funds, currently in private beta by invitation only.",,,,Yes,,Quant / Data Engineering,"Quant and data engineering teams at hedge funds are the primary users, accessing a suite of private-beta data infrastructure tools (QHub, QCode, QQT, QAI) for quantitative workflows.",Undifferentiated — insufficient public product detail available to identify a meaningful differentiator versus peers; private beta with no visible product information.,,,Unverified,Website: https://palmyinvesting.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/palmy-investing,"LinkedIn: page found, no post activity detected",2026-07-23
Pascal AI Labs,https://pascalailabs.com/,"Pascal AI sells a suite of 25+ AI research agents for institutional investors — asset managers, hedge funds, and private equity firms — that automate tasks like document analysis, financial modeling, and memo drafting, deployed inside the client's own secure cloud environment and connected to data sources like Bloomberg, FactSet, and SharePoint.","Pascal's platform uses a proprietary Context Graph to connect a firm's internal data and investment frameworks with external sources like earnings transcripts and regulatory filings in real time, with all processing running inside the client's own secure VPC so data never leaves their governance perimeter. It is SOC 2 Type II and ISO 27001 certified, and has been deployed at institutions including ICICI Prudential AMC and Kotak Mahindra AMC to reduce research turnaround time across large coverage universes.","Pascal AI raised a $3.1M seed round and has announced partnerships and deployments with major Indian asset managers, welcomed Adam Menkes as a strategic advisor, and is actively hosting and speaking at industry events including an invite-only Washington DC breakfast on AI in alternative investments and an Eagle Alpha webinar on agentic AI workflows.",2026-07-13,No,,Research Analysts,"Buy-side research analysts at asset managers and institutional investment firms use Pascal daily to automate document analysis, financial modeling, and first-draft memo generation across large equity coverage universes.","Differentiates by deploying 25+ AI research agents inside the client's own secure VPC with SOC 2 Type II and ISO 27001 certification, using a proprietary Context Graph — the strongest combination of on-premises deployment and compliance certifications among peers here.",Funded,$3.1M Seed,Verified,Website: https://pascalailabs.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/pascal-ai-labs | Funding (web search): https://www.thesaasnews.com/news/pascal-ai-labs-raises-3-1m-in-seed-round,,2026-07-23
Pebble,https://pebble.finance/,"Pebble sells AI-powered market and portfolio intelligence tools to wealth managers, brokers, asset managers, and financial data providers, delivered via enterprise API. It helps advisors and analysts automatically explain portfolio performance, generate client commentary, and surface personalized investment insights.","Pebble's AI turns portfolio and market data into clear, jargon-free explanations for advisors and their clients, covering why specific holdings are moving and how they connect to investor goals. The company recently integrated with Ridgeline's investment management platform, going from contract to live in about 30 days, and was included in The Oasis Group's May 2026 AI WealthTech Map under Investment & Portfolio Management.",CEO Justin Whitehead has published multiple thought-leadership articles in Financial Advisor Magazine and Advisorpedia arguing that generative and agentic AI are turning advisors into technology builders and that large firms need to move beyond AI posturing to actual workflow delivery.,2026-07-30,No,,Portfolio Managers / Traders,"Wealth management advisors and portfolio managers at RIAs, broker-dealers, and asset managers use Pebble daily to generate automated, plain-language portfolio commentary and market explanations for client reviews and engagement workflows.","Only company here delivering portfolio and market intelligence as an embeddable API, providing plain-language 'why is this moving' explanations designed to be white-labeled into third-party platforms.",Funded,$5M Seed,Verified,Website: https://pebble.finance/ | LinkedIn: https://www.linkedin.com/company/pebble-finance-inc | Funding (web search): https://www.finsmes.com/2022/07/pebble-raises-5m-in-seed-funding.html,,2026-08-10
Permutable AI,https://permutable.ai/,"Permutable sells real-time macro and asset-level sentiment data signals to institutional investors, covering 70+ assets across 80+ languages and 250k+ sources, helping them detect market-moving narratives before they appear in traditional data. It targets hedge funds, investment banks, and asset managers who want alternative data feeds for trading and research workflows.","Permutable's Global Macro Sentiment Indices (GMSI) convert global news and policy narratives into structured, point-in-time sentiment signals across 95 countries and topics like inflation, monetary policy, and trade, which have demonstrably led official data releases and market moves. The signals are delivered as a research-grade data layer that integrates into discretionary, quant, and systematic workflows without heavy technical integration.",Permutable won Technology Provider of the Year: Innovation at the Hedgeweek European Awards and was selected for the TotalEnergies On accelerator program alongside Incubateur HEC Paris. The company also shared a team offsite post highlighting company culture.,2026-07-29,No,,Quant / Data Engineering,"Quantitative researchers and systematic macro traders at hedge funds and investment banks use Permutable's sentiment indices as an alternative data feature layer to build and backtest signals for rates, commodities, and FX strategies.","Uniquely delivers point-in-time Global Macro Sentiment Indices across 95 countries and 80+ languages covering inflation, monetary policy, and trade narratives that have demonstrably led official data releases — no peer here offers macro-level leading sentiment signals at this geographic breadth.",Funded,$5M Seed,Conflicting,Website: https://permutable.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/permutableai | Funding (conflicting — used web search): https://pitchbook.com/profiles/company/503303-86,,2026-07-23
PleaseFix,https://pleasefix.ai/,"Pleasefix.ai is a tool for finance and strategy teams that automates repetitive tasks inside Excel and PowerPoint — like rebuilding P&Ls from PDFs, updating decks after model changes, and enforcing formatting rules — using plain English instructions.","Pleasefix runs natively inside Excel and PowerPoint, offering features like a Checker (flags mismatches between PowerPoint slides and Excel source data), a Formula Explainer (breaks down cell logic in one click), and automatic deck reformatting from a single instruction; it also integrates with think-cell charts. It maintains a shared firm-level memory of templates, model structures, and past decisions so any team member can pick up where another left off.",The company raised a $2.1M pre-seed round and co-founder Séverine Nolf appeared on the Syndicate One podcast discussing her founding journey and Belgium's startup potential; posts also position pleasefix as a firm-wide operating system rather than a single-user productivity tool.,2026-06-09,No,,Research Analysts,"Investment banking analysts and strategy consultants use this daily to eliminate manual formatting, model-to-deck syncing, and PDF-to-spreadsheet rebuilding during live deal workflows.","Uniquely automates PowerPoint deck formatting and enforces consistency between Excel source data and PowerPoint slides (via its Checker), with think-cell integration and firm-level memory — the only platform here focused on Excel-to-PowerPoint workflow integrity.",Funded,$2.1M Pre-Seed,Verified,Website: https://pleasefix.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/pleasefix-ai | Funding (web search): https://eutechfuture.com/artificial-intelligence/pleasefix-ai-raises-2-1m-pre-seed-to-automate-powerpoint-drudgery-for-finance-teams,,2026-07-23
Polygon,https://polygon.io/,"Massive (formerly Polygon.io) provides a financial market data API giving developers access to real-time and historical stock, options, and other market data. It is built for developers, quants, and financial application builders who need reliable, structured market data feeds.","Massive offers APIs covering real-time stocks, options chains, and market quotes, plus a new Financials suite with normalized balance sheets, income statements, cash flow statements, and a daily-refreshed ratios feed. It also provides a real-time Benzinga news endpoint and integrates with partners like ClickHouse for large-scale financial data pipelines.","Polygon.io rebranded to Massive, with api.massive.com running in parallel with api.polygon.io and no action required from existing users. The company announced a partnership with TMX Group, appeared on Nasdaq TradeTalks, and closed the TMX market in Toronto as part of that partnership.",2025-11-26,Yes,,Quant / Data Engineering,"Quant developers and data engineers at hedge funds, trading firms, and fintech companies use this to power backtests, real-time trading systems, financial screeners, and analytics pipelines with reliable market data APIs.","Differentiates by pairing real-time market data APIs with a normalized Financials suite (balance sheets, income statements, cash flow, daily ratios) and a real-time Benzinga news endpoint, plus native ClickHouse integration for large-scale pipelines.",,,Unverified,Website: https://polygon.io/ | LinkedIn (company funding data): https://www.linkedin.com/company/polygon-io/,,2026-08-06
Primer,https://primerapp.com/,"Primer is an AI research tool built for equity investors — analysts and portfolio managers at hedge funds, long-only funds, and banks — that helps them do financial modelling, forensic accounting, and information retrieval faster and more accurately than competing tools.",,,2026-07-29,No,,Research Analysts,"Equity research analysts and portfolio managers at hedge funds, multi-manager funds, and sell-side banks use Primer daily for financial modelling, forensic accounting workflows, and investment research.","Undifferentiated — described as an AI research tool for equity investors covering financial modelling, forensic accounting, and information retrieval without a concrete unique data source, modality, or workflow distinguishing it from Canary, PineGap, or Hudson Labs.",,,Unverified,Website: https://primerapp.com/,LinkedIn: no verified page found (auto-resolved page was a same-name company),2026-08-10
Prosights,https://prosights.co/,"ProSights extracts data from unstructured documents (PDFs, images, contracts, invoices) and converts it into structured outputs like Excel, JSON, or third-party databases, configured to a firm's specific templates and systems. It targets enterprise financial institutions — primarily private equity firms and banks — that need to automate manual data entry workflows.","ProSights is an Excel plugin that pulls data from complex PDFs and images directly into firm-specific Excel templates, saving analysts and associates hours of manual data entry per week. It also includes chart-to-table extraction and supports outputs to JSON and third-party databases, deployed inside client environments for PE firms, investment banks, and related groups like credit and real estate.","ProSights has onboarded more than half of the top 10 largest PE firms in the past five months, is cash-flow positive, and counts 7 of the top 10 PE funds as customers. The company is actively hiring (Head of Growth, Head of Research, engineers), spotlighted a partnership with H.I.G.",2026-02-03,Yes,,Research Analysts,"Analysts and associates at private equity firms and investment banks use ProSights daily to automatically extract financial data from PDFs and images into their firm's Excel templates, eliminating manual data entry during deal work and portfolio monitoring.",Differentiates by focusing exclusively on extracting data from complex PDFs and images (including chart-to-table extraction) into firm-specific Excel templates via an Excel plugin — the most narrowly specialized document-to-structured-data extraction tool in this list.,Funded,$500K Seed,Conflicting,Website: https://prosights.co/ | LinkedIn (company funding data): https://www.linkedin.com/company/prosightsco | Funding (conflicting — used web search): https://tracxn.com/d/companies/prosights/__KUd5WnlyL7YPyO5_8IySPYPcP98D2Pl96BA2HI5Thbg/funding-and-investors,,2026-07-23
Qualitate,https://qualitate.io/,"Qualitate sells an AI-powered platform that conducts and structures expert interviews at scale, turning those conversations into time-series intelligence data for investment firms and corporate strategy teams doing due diligence, competitive research, and market monitoring.","Qualitate's AI moderator runs thousands of expert discussions, then converts them into structured sentiment scores and time-series data so customers can track market views, vendor rankings, and spend trends over time. Customers can tap a library of 450,000+ existing expert conversations or commission custom calls to monitor topics like agentic commerce adoption, cybersecurity vendor cost-effectiveness, or enterprise software budgets.","Qualitate announced a $7M seed raise and is actively hiring, emphasizing early ownership and building from scratch. Posts also include thought leadership on proprietary data as a competitive moat in an AI-constrained data environment.",2026-07-29,No,,Research Analysts,"Research analysts and competitive intelligence teams at hedge funds, private equity firms, and large enterprises use this daily to run expert interviews, track market sentiment over time, and accelerate due diligence without manually coordinating calls.","Differentiates by converting AI-moderated expert interviews into structured time-series sentiment scores with a library of 450,000+ existing expert conversations, enabling longitudinal tracking of vendor rankings and spend trends — more time-series and structured than Checkmake or Synquery.",Funded,$7M Seed,Verified,Website: https://qualitate.io/ | LinkedIn (company funding data): https://www.linkedin.com/company/qualitate-io | Funding (web search): https://www.citybiz.co/article/834839/qualitate-raises-7-million-seed-round-to-build-ai-research-platform-for-investors-and-corporates,,2026-07-23
Quantly,https://quantly-ai.com/,"Quantly builds GenAI tools and infrastructure for banks, asset managers, and hedge funds, including custom AI workflows, data pipelines, and advisory services; it has now joined FE fundinfo to develop Nexus, an AI platform for investment professionals.","Quantly offers a platform where investment teams can run pre-built or custom research playbooks (e.g., earnings previews, guidance analysis), build scheduled monitoring agents that deliver results by email, and integrate with tools like OpenBB to automate end-to-end research workflows.","Quantly announced it has joined FE fundinfo to help build the Nexus AI platform, previously partnered with FE fundinfo on an AI transformation engagement, and opened its platform to public sign-up after operating as an enterprise-only offering.",2026-06-02,No,,Research Analysts,"Research analysts and investment professionals at asset managers and hedge funds use this to automate research workflows, run earnings previews, monitor events, and surface insights without manual document review.","Differentiates by offering pre-built and custom research playbooks with scheduled monitoring agents that deliver results by email, and by integrating with OpenBB for end-to-end workflow automation — more playbook-and-scheduling-centric than most peers, though overlaps with Implied.",Funded,$890K Seed,Verified,Website: https://quantly-ai.com/ | LinkedIn (company funding data): https://www.linkedin.com/company/quantly | Funding (web search): https://tracxn.com/d/companies/quantlyai/__2KbET5PlQKb_HmtMiTLP0hY3a4xiX95r9QUmk7k1sQQ/funding-and-investors,,2026-07-23
Radpod,https://radpod.ai/,"Compound is an AI platform for institutional finance teams that automates analyst work including financial modeling, data room review, SEC filing research, and general junior analyst tasks, with all outputs citing their sources. It works inside familiar Excel, Word, and PowerPoint interfaces and is SOC 2 Type II certified for enterprise security.","RadPod AI automates financial analyst tasks like filling out financial models (e.g., a Duolingo model in under 4 minutes), extracting data from PDFs into Excel with source citations, analyzing large revenue files with natural language prompts, and aggregating insights from customer call notes into exportable tables. All outputs are auditable and Excel-compatible.",,2025-09-17,Yes,,Research Analysts,"Junior and mid-level research analysts at investment firms or hedge funds use this to automate data extraction from SEC filings and PDFs, build financial models, and analyze large datasets — cutting hours of manual work down to minutes.","Undifferentiated — overlaps heavily with Compound, FinSynth, and Daloopa on automating financial model population, PDF-to-Excel extraction, and analyst task automation with auditable citations.",,,Unverified,Website: https://radpod.ai/ | LinkedIn (company funding data): https://www.linkedin.com/company/radpod-ai,Website radpod.ai now serves 'Compound' branding — likely rebrand/acquisition; LinkedIn (radpod-ai) shows the original RadPod product. Possible duplicate of the Compound entry — manual review recommended,2026-07-23
